Source IP,Destination IP,Source Port,Destination Port,Protocol,SYN Flag Count,ACK Flag Count,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Init Fwd Win Bytes,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow Duration,Flow IAT Mean,Flow IAT Std,Bwd IAT Mean,Down/Up Ratio,Active Mean,Active Std
10.1.1.6,10.1.1.4,49153,80,6,0,170,0,5928,2912,32768,114,56,58368,536,320,19.336357900134793,0.0,75288.05706926438,182.14506890440805,933322.0000000005,5522.6153846153875,7200.203104466041,13390.418181818184,0.059082413938626635,933322.0000000005,0.0
10.1.1.7,10.1.1.4,49153,80,6,0,173,0,6344,2652,32768,122,51,62464,536,320,28.330600961145745,0.0,75284.00343640879,174.64709676963446,990568.9999999998,5759.122093023255,8580.092444898259,16359.54,0.05027885752915329,990568.9999999998,0.0
10.1.1.4,10.1.1.9,80,49154,6,0,11,0,572,0,32768,11,0,0,0,0,0.0,0.0,850828.7292814129,12154.696132591613,905.0000000003777,90.50000000003777,226.19294860803487,0.0,0.0,905.0000000003777,0.0
10.1.1.8,10.1.1.4,49153,80,6,0,77,0,3120,884,32768,60,17,30720,536,296,29.393876913398138,0.0,74480.78989651887,158.82084802082395,484823.00000000047,6379.2500000000055,10103.426619254455,17348.187500000004,0.034077892325315,484823.00000000047,0.0
10.1.1.4,10.1.1.2,80,49168,6,0,7463,0,106652,281424,32768,2051,5412,0,0,0,0.0,432.9726533628973,2866423.335030451,7464.993153171891,999733.0000000008,133.9765478424016,868.9347286786332,184.4239512104972,18.96000557219475,999733.0000000008,0.0
10.1.1.4,10.1.1.3,80,49160,6,0,5733,0,93964,204152,32768,1807,3926,0,0,0,0.0,523.0361691288844,2475834.2040819624,5782.241569203336,991483.9999999998,172.97348220516398,1017.82438517633,252.5864968152868,18.40667246422642,991483.9999999998,0.0
10.1.1.8,10.1.1.4,49153,80,6,0,183,0,6344,3172,32768,122,61,62464,536,296,23.802465776662306,0.0,76112.14696234946,185.03763443034714,988987.9999999991,5433.9999999999945,8115.000264738256,12480.800000000008,0.06013745704467354,988987.9999999991,0.0
10.1.1.4,10.1.1.1,80,49172,6,0,6668,0,101920,244816,32768,1960,4708,0,0,0,0.0,458.6898895497026,2676193.7176082637,6794.7492525572,981346.0000000002,147.1945402729864,1029.3931317486217,208.470363288719,18.141924198250727,981346.0000000002,0.0
10.1.1.7,10.1.1.4,49154,80,6,0,183,0,6188,3328,32768,119,64,60928,512,512,0.0,0.0,76276.79690829573,189.3006839650942,966715.9999999999,5311.626373626374,4425.285085864254,13494.920634920636,0.06468566808166566,966715.9999999999,0.0
10.1.1.4,10.1.1.6,80,49154,6,0,116,0,2496,3536,32768,48,68,0,0,0,0.0,512.0,73110.92645315964,197.52346442534278,587272.0000000005,5106.713043478265,13473.378063725877,6830.194029850746,11.778571428571428,587272.0000000005,0.0
10.1.1.9,10.1.1.4,49153,80,6,0,167,0,5928,2756,32768,114,53,58368,512,512,0.0,0.0,75680.28864331172,180.4020697626689,925709.9999999987,5576.566265060233,4880.395196057934,16042.307692307679,0.055917284620485924,925709.9999999987,0.0
10.1.1.4,10.1.1.5,80,49154,6,0,10,0,520,0,32768,10,0,0,0,0,0.0,0.0,209895.05247377156,2998.500749625308,3334.999999999866,370.55555555554065,1008.4919556900337,0.0,0.0,3334.999999999866,0.0
10.1.1.4,10.1.1.2,80,49161,6,0,7663,0,97916,300560,32768,1883,5780,0,0,0,0.0,409.43667820069203,2941305.6848244285,7764.237897951395,986960.9999999991,128.8124510571651,823.0747506099631,170.77349022322207,21.02377664820575,986960.9999999991,0.0
10.1.1.7,10.1.1.4,49154,80,6,0,10,0,156,364,32768,3,7,1536,512,512,0.0,0.0,12169.1048415187,54.42354580285644,183743.999999999,20415.99999999989,52505.89145779572,41.333333333189636,0.2806414662084765,183743.999999999,0.0
10.1.1.4,10.1.1.3,80,49153,6,0,6405,0,92612,240448,32768,1781,4624,0,0,0,0.0,469.6764705882353,2626295.2887473996,6420.061464194997,997654.0000000007,155.78607120549668,1080.0057535441904,215.78585334198587,20.016555707066654,997654.0000000007,0.0
10.1.1.1,10.1.1.4,49167,80,6,0,7292,0,286364,92820,32768,5507,1785,2369504,536,64,196.70923674960284,0.0,2885640.2538611237,7306.422878762682,998025.9999999994,136.88465231106835,961.7173807278305,548.6395739910316,0.04535400077096357,998025.9999999994,0.0
10.1.1.8,10.1.1.4,49154,80,6,0,106,0,3224,2288,32768,62,44,31744,512,512,0.0,0.0,56158.84619410681,151.9976942236575,697378.9999999998,6641.70476190476,19142.011082047233,14531.581395348832,0.08535639064405276,697378.9999999998,0.0
10.1.1.9,10.1.1.4,49153,80,6,0,194,0,6760,3328,32768,130,64,66560,512,512,0.0,0.0,80963.64314168031,195.99384538914376,989827.0,5128.637305699482,4742.40439149748,14595.301587301587,0.059212265397832406,989827.0,0.0
10.1.1.5,10.1.1.4,49153,80,6,0,180,0,6344,3016,32768,122,58,62464,536,80,51.51094106284924,0.0,76117.92884275674,182.52727261664998,986154.0000000008,5509.240223463692,15029.965844188984,16791.912280701752,0.057179877190017464,986154.0000000008,0.0
10.1.1.6,10.1.1.4,49153,80,6,0,82,0,3224,1040,32768,62,20,31744,536,248,35.01888891220224,0.0,75024.56852466738,164.12374930697698,499623.00000000146,6168.185185185203,11355.418020596839,18018.52631578947,0.03879835938366035,499623.00000000146,0.0
10.1.1.4,10.1.1.3,80,49160,6,0,5538,0,82368,205608,32768,1584,3954,0,0,0,0.0,513.224076884168,2426793.5012345114,5560.559188628272,995942.9999999987,179.87050749503317,1030.7385172503632,251.9304325828482,20.79787157287157,995942.9999999987,0.0
10.1.1.4,10.1.1.2,80,49168,6,0,8138,0,85576,338728,32768,1624,6514,0,0,0,0.0,337.2035615597175,2769822.070040968,8145.32264505791,999100.9999999995,122.78493302199823,901.809812756684,153.38737908797796,23.10399972127378,999100.9999999995,0.0
10.1.1.5,10.1.1.4,49153,80,6,0,169,0,6344,2444,32768,122,47,62464,536,248,33.80173630228454,0.0,75429.20960454835,171.58231382303646,984950.0000000013,5862.797619047626,9381.36986618609,15522.717391304357,0.04633541772294519,984950.0000000013,0.0
10.1.1.6,10.1.1.4,49153,80,6,0,187,0,6292,3432,32768,121,66,61952,536,200,33.65945153572694,0.0,75626.13627660056,188.45563129613157,992275.9999999986,5334.817204301068,10252.122096557103,10883.615384615388,0.06560449859418932,992275.9999999986,0.0
10.1.1.7,10.1.1.4,49153,80,6,0,167,0,6344,2340,32768,122,45,62464,536,272,27.995315767428536,0.0,74810.23538479547,168.47788803383287,991227.9999999995,5971.25301204819,9465.741690074417,16370.68181818181,0.04436369781984113,991227.9999999995,0.0
10.1.1.4,10.1.1.1,80,49153,6,0,9199,0,77584,400764,32768,1492,7707,0,0,0,0.0,270.56338393668096,2810332.843519371,9472.597019720593,971116.9999999995,105.57914764079142,752.5922472753092,125.49662600570979,25.131386441976254,971116.9999999995,0.0
10.1.1.4,10.1.1.9,80,49154,6,0,5,0,260,0,32768,5,0,0,0,0,0.0,0.0,6034482.758701287,86206.89655287554,57.99999999922534,14.499999999806334,1.1180339879131578,0.0,0.0,57.99999999922534,0.0
10.1.1.8,10.1.1.4,49153,80,6,0,78,0,3120,936,32768,60,18,30720,536,152,48.0,0.0,74863.27829978807,161.39678572093615,483281.00000000163,6276.376623376645,14881.935023811853,22642.52941176474,0.03608247422680412,483281.00000000163,0.0
10.1.1.2,10.1.1.4,49157,80,6,0,9953,0,436904,82300,32768,8402,1551,2052960,536,64,229.06394140188723,0.0,2751496.8472950724,9953.646987054151,999935.0000000007,100.47578376205794,590.227538873838,607.245806451613,0.041731854151679224,999935.0000000007,0.0
10.1.1.4,10.1.1.3,80,49157,6,0,7076,0,76580,291772,32768,1465,5611,0,0,0,0.0,379.8110853680271,2636240.83481696,7101.323318955402,996433.999999999,140.8387279151942,961.7533623719132,177.6064171122993,24.51568722680913,996433.999999999,0.0
